epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,162.063,0.93452,0.59318,0.92997,0.96698,0.99306,0.97955,0.72793,0.88768,0.47184,0.93197,0.00106696,0.00106696,0.00106696
43,165.835,0.97083,0.60329,0.95792,0.96124,0.99214,0.97409,0.71998,0.89177,0.47397,0.93273,0.00106589,0.00106589,0.00106589
44,169.749,0.93797,0.59223,0.91664,0.97076,0.98188,0.98544,0.73233,0.90262,0.46967,0.93576,0.00106481,0.00106481,0.00106481
45,173.468,0.8986,0.54995,0.92934,0.9832,0.97908,0.98694,0.73345,0.86297,0.452,0.92774,0.00106374,0.00106374,0.00106374
46,177.208,0.93039,0.57753,0.94994,0.94888,0.98968,0.98264,0.73368,0.87421,0.45537,0.92968,0.00106266,0.00106266,0.00106266
47,180.963,0.9035,0.59264,0.93923,0.96591,0.99533,0.97505,0.71597,0.93233,0.46361,0.94465,0.00106159,0.00106159,0.00106159
48,184.676,0.94161,0.57185,0.92931,0.96666,0.97623,0.98066,0.70909,0.89803,0.51159,0.9318,0.00106052,0.00106052,0.00106052
49,188.575,0.97298,0.59695,0.91603,0.95974,0.97753,0.98319,0.70513,0.91391,0.50418,0.9395,0.00105944,0.00105944,0.00105944
50,192.328,0.91617,0.55684,0.91314,0.96766,0.98393,0.97877,0.70258,0.90108,0.47967,0.93274,0.00105837,0.00105837,0.00105837
51,196.022,0.90954,0.55179,0.91926,0.96952,0.97403,0.97828,0.72283,0.88969,0.45094,0.93372,0.00105729,0.00105729,0.00105729
52,199.857,0.91535,0.56023,0.92431,0.96343,0.9925,0.98817,0.7249,0.86858,0.43541,0.92347,0.00105622,0.00105622,0.00105622
53,203.594,0.88686,0.5359,0.91902,0.96948,0.96975,0.97875,0.70623,0.90075,0.47786,0.93521,0.00105515,0.00105515,0.00105515
54,207.502,0.94907,0.55037,0.93719,0.97605,0.98454,0.98589,0.73268,0.87168,0.44358,0.92868,0.00105407,0.00105407,0.00105407
55,211.216,0.93764,0.58208,0.90991,0.98556,0.98512,0.9875,0.72788,0.92282,0.43723,0.94448,0.001053,0.001053,0.001053
56,214.965,0.93128,0.52907,0.92713,0.97587,0.98317,0.98245,0.73655,0.88924,0.47134,0.93229,0.00105192,0.00105192,0.00105192
57,218.748,0.93686,0.53975,0.91372,0.97797,0.9821,0.9847,0.75345,0.86791,0.43792,0.92519,0.00105085,0.00105085,0.00105085
58,222.492,0.95957,0.54573,0.92858,0.9623,0.99493,0.98976,0.75738,0.87973,0.44271,0.92862,0.00104978,0.00104978,0.00104978
59,226.249,0.90231,0.53019,0.92091,0.97048,0.99485,0.99077,0.74265,0.85099,0.43057,0.91969,0.0010487,0.0010487,0.0010487
60,230.195,0.95509,0.62789,0.94039,0.97998,0.98711,0.99252,0.74282,0.85561,0.43419,0.92043,0.00104763,0.00104763,0.00104763
61,233.972,0.91536,0.54321,0.9142,0.97659,0.9902,0.99304,0.7437,0.87432,0.43981,0.92531,0.00104655,0.00104655,0.00104655
62,237.701,0.90897,0.52848,0.94588,0.98533,0.99392,0.99307,0.7538,0.86765,0.43378,0.92397,0.00104548,0.00104548,0.00104548
63,241.45,0.87573,0.50055,0.92347,0.97752,0.99546,0.99235,0.75316,0.86003,0.42441,0.92426,0.00104441,0.00104441,0.00104441
64,245.224,0.90845,0.52228,0.92424,0.97239,0.9918,0.99072,0.75092,0.86664,0.42812,0.92122,0.00104333,0.00104333,0.00104333
65,249.16,0.91715,0.50492,0.93411,0.98386,0.99689,0.99083,0.75108,0.86087,0.41817,0.92216,0.00104226,0.00104226,0.00104226
66,252.857,0.89196,0.49511,0.92115,0.9753,0.98858,0.98563,0.72583,0.8648,0.42537,0.92669,0.00104118,0.00104118,0.00104118
67,256.564,0.87343,0.48992,0.91718,0.97092,0.9916,0.98572,0.75178,0.8556,0.44706,0.92329,0.00104011,0.00104011,0.00104011
68,260.276,0.92894,0.51481,0.93563,0.97085,0.9798,0.98606,0.72587,0.87676,0.46984,0.93008,0.00103903,0.00103903,0.00103903
69,263.985,0.92277,0.53159,0.92521,0.91606,0.96214,0.95047,0.68524,0.88368,0.48728,0.93234,0.00103796,0.00103796,0.00103796
70,267.901,0.89263,0.53363,0.92172,0.98981,0.99646,0.99329,0.69226,0.90977,0.4625,0.94106,0.00103689,0.00103689,0.00103689
71,271.621,0.92615,0.5165,0.90963,0.95604,0.99487,0.98858,0.75149,0.8556,0.47965,0.92389,0.00103581,0.00103581,0.00103581
72,275.359,0.89898,0.50655,0.92624,0.96456,0.99543,0.99018,0.74484,0.86558,0.45489,0.92868,0.00103474,0.00103474,0.00103474
73,279.089,0.88184,0.49367,0.90043,0.97734,0.99003,0.99097,0.7593,0.85068,0.44986,0.92618,0.00103366,0.00103366,0.00103366
74,282.86,0.82855,0.60788,0.83724,0.98757,0.9967,0.98925,0.74819,0.86835,0.44453,0.93225,0.00103259,0.00103259,0.00103259
75,286.781,0.89428,0.49605,0.93134,0.9846,0.98396,0.9888,0.74458,0.83642,0.42433,0.92127,0.00103152,0.00103152,0.00103152
76,290.47,0.85341,0.48369,0.90986,0.98223,0.98724,0.99264,0.76014,0.84141,0.44137,0.92029,0.00103044,0.00103044,0.00103044
77,294.225,0.8841,0.49467,0.9403,0.98484,0.99584,0.9931,0.76661,0.8284,0.41479,0.91667,0.00102937,0.00102937,0.00102937
78,298.104,0.89605,0.48627,0.92761,0.98542,0.99478,0.9925,0.76417,0.85251,0.43325,0.92311,0.00102829,0.00102829,0.00102829
