epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,164.35,0.9086,0.59976,0.93176,0.99164,0.99228,0.99279,0.75335,0.86435,0.47333,0.94174,0.00106696,0.00106696,0.00106696
43,168.134,0.9596,0.60439,0.95329,0.98974,0.99257,0.99282,0.76271,0.85817,0.45204,0.93532,0.00106589,0.00106589,0.00106589
44,172.04,0.90842,0.56015,0.91286,0.97916,0.98748,0.99296,0.75386,0.85907,0.4656,0.93431,0.00106481,0.00106481,0.00106481
45,175.799,0.88335,0.56321,0.92998,0.987,0.9958,0.99236,0.7576,0.85892,0.45553,0.93473,0.00106374,0.00106374,0.00106374
46,179.574,0.89649,0.56981,0.94527,0.96899,0.99293,0.99196,0.73976,0.90334,0.46687,0.95446,0.00106266,0.00106266,0.00106266
47,183.415,0.8978,0.60082,0.94629,0.99002,0.99505,0.9929,0.75193,0.90119,0.47209,0.94851,0.00106159,0.00106159,0.00106159
48,187.195,0.93998,0.58527,0.9363,0.98666,0.99348,0.99289,0.74824,0.8759,0.49321,0.94377,0.00106052,0.00106052,0.00106052
49,190.935,0.93841,0.58974,0.91474,0.97738,0.98972,0.9914,0.74394,0.8914,0.51294,0.94999,0.00105944,0.00105944,0.00105944
50,194.832,0.94413,0.60858,0.92899,0.97987,0.98618,0.9897,0.75535,0.86956,0.49384,0.94111,0.00105837,0.00105837,0.00105837
51,198.594,0.901,0.55395,0.92043,0.98153,0.99135,0.99181,0.75561,0.8608,0.46833,0.93608,0.00105729,0.00105729,0.00105729
52,202.419,0.89962,0.5714,0.9261,0.98276,0.99273,0.99021,0.74505,0.87305,0.44871,0.93986,0.00105622,0.00105622,0.00105622
53,206.102,0.88113,0.54321,0.92216,0.97841,0.99529,0.99105,0.75527,0.86553,0.45332,0.9377,0.00105515,0.00105515,0.00105515
54,209.918,0.95817,0.57247,0.94503,0.9789,0.99304,0.99276,0.7662,0.85969,0.46334,0.93638,0.00105407,0.00105407,0.00105407
55,213.716,0.91343,0.58832,0.91249,0.99001,0.99646,0.99316,0.76862,0.85173,0.45131,0.93373,0.001053,0.001053,0.001053
56,217.608,0.91117,0.56823,0.92607,0.98467,0.98853,0.99187,0.76945,0.85716,0.4473,0.934,0.00105192,0.00105192,0.00105192
57,221.57,0.89327,0.54655,0.90488,0.99009,0.98381,0.99263,0.76311,0.84782,0.43843,0.93185,0.00105085,0.00105085,0.00105085
