epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.15075,1.46077,4.79184,1.19682,0,0,0,0,1.10684,4.14985,0.91455,0.00012221,0.00012221,0.00012221
2,6.87758,1.22691,3.02685,0.95751,0.00249,0.17379,0.1388,0.09134,1.12019,3.78326,0.90917,0.000255283,0.000255283,0.000255283
3,9.67982,1.16975,1.99363,0.94427,0.00682,0.40526,0.29526,0.21038,1.04589,3.5504,0.89661,0.000388098,0.000388098,0.000388098
4,12.477,1.14591,1.49141,0.96358,0.01167,0.59608,0.53388,0.39136,1.01906,3.38688,0.9016,0.000520656,0.000520656,0.000520656
5,15.1839,1.04282,1.18535,0.91524,0.99583,0.20581,0.73408,0.51429,1.01851,3.11958,0.91008,0.000652955,0.000652955,0.000652955
6,17.8675,1.04526,1.01326,0.92814,0.0168,0.96035,0.91775,0.6337,1.00626,2.65635,0.93726,0.000784997,0.000784997,0.000784997
7,20.798,1.01445,0.97607,0.94374,0.95989,0.8224,0.95983,0.63431,1.11092,1.62778,1.00969,0.000916781,0.000916781,0.000916781
8,23.5075,1.06902,1.05744,0.97143,0.98665,0.73491,0.98111,0.69643,0.98112,1.39648,0.9542,0.00104831,0.00104831,0.00104831
9,26.202,1.0337,1.00255,0.93712,0.96216,0.95059,0.97927,0.69548,0.97296,1.16519,0.94863,0.00110241,0.00110241,0.00110241
10,28.8711,0.98782,1.0425,0.91965,0.93243,0.95515,0.97509,0.69881,0.95353,0.81376,0.95441,0.00110133,0.00110133,0.00110133
11,31.5222,0.99142,0.87577,0.9163,0.9338,0.94675,0.98691,0.70076,0.97123,0.88523,0.9443,0.00110026,0.00110026,0.00110026
12,34.1089,0.98941,0.88379,0.9175,0.95397,0.94548,0.98894,0.70739,0.94091,0.7373,0.94176,0.00109918,0.00109918,0.00109918
13,36.6803,0.98719,0.83571,0.94196,0.95748,0.99007,0.98685,0.7088,0.98033,0.77932,0.95285,0.00109811,0.00109811,0.00109811
14,39.2398,1.02014,0.87808,0.92366,0.9681,0.9743,0.98645,0.7027,0.94402,0.73636,0.94331,0.00109704,0.00109704,0.00109704
15,41.8064,1.00069,0.79204,0.93275,0.9546,0.99068,0.98428,0.71984,0.93449,0.6867,0.93274,0.00109596,0.00109596,0.00109596
16,44.3576,0.90278,1.22766,0.83453,0.96613,0.98303,0.97924,0.69921,0.98252,0.58785,0.94886,0.00109489,0.00109489,0.00109489
17,46.8908,1.01001,0.79838,0.91822,0.94961,0.99646,0.98445,0.71836,0.93269,0.58258,0.93394,0.00109381,0.00109381,0.00109381
18,49.5843,0.97647,0.74265,0.92209,0.97498,0.9742,0.98506,0.72359,0.90857,0.53584,0.9277,0.00109274,0.00109274,0.00109274
19,52.2459,0.9678,0.71161,0.92008,0.97889,0.96273,0.98523,0.72499,0.90594,0.53299,0.91755,0.00109167,0.00109167,0.00109167
20,54.9308,0.99065,0.72146,0.92255,0.96432,0.98216,0.98209,0.70863,0.92563,0.51327,0.92815,0.00109059,0.00109059,0.00109059
21,57.5684,0.95063,0.75058,0.90743,0.97503,0.99075,0.99026,0.73725,0.90879,0.52914,0.92251,0.00108952,0.00108952,0.00108952
22,60.2018,0.94114,0.71069,0.88783,0.98551,0.98268,0.99307,0.74464,0.88554,0.51732,0.92058,0.00108844,0.00108844,0.00108844
23,62.8195,0.96405,0.72008,0.93233,0.9733,0.99089,0.99244,0.74759,0.89056,0.51777,0.92039,0.00108737,0.00108737,0.00108737
24,65.4226,0.99204,0.73205,0.93283,0.92973,0.98264,0.99047,0.73164,0.92331,0.58567,0.92591,0.0010863,0.0010863,0.0010863
25,67.9581,0.95574,0.67774,0.92696,0.97723,0.9946,0.99256,0.73357,0.90042,0.51619,0.92217,0.00108522,0.00108522,0.00108522
26,70.5796,0.9333,0.64463,0.92089,0.97917,0.98165,0.99177,0.74901,0.89558,0.50913,0.91814,0.00108415,0.00108415,0.00108415
27,73.2484,0.99133,0.72058,0.93559,0.98693,0.9798,0.99243,0.74019,0.91726,0.51093,0.92387,0.00108307,0.00108307,0.00108307
28,75.838,0.97433,0.67499,0.93569,0.97101,0.9942,0.98991,0.74674,0.87181,0.47529,0.91513,0.001082,0.001082,0.001082
29,78.5674,0.90532,0.66467,0.92202,0.9701,0.987,0.98868,0.73702,0.90253,0.54109,0.92717,0.00108092,0.00108092,0.00108092
30,81.1652,0.90215,0.62491,0.92056,0.98442,0.98237,0.98826,0.73629,0.87699,0.4891,0.91546,0.00107985,0.00107985,0.00107985
31,83.7402,0.96698,0.60291,0.90669,0.97385,0.98574,0.99149,0.73487,0.89315,0.50168,0.92182,0.00107878,0.00107878,0.00107878
32,86.2963,0.8993,0.60354,0.90744,0.98354,0.99304,0.99346,0.76288,0.86503,0.46049,0.91367,0.0010777,0.0010777,0.0010777
33,88.9799,0.92806,0.63525,0.91368,0.97438,0.99674,0.99251,0.75142,0.89363,0.4857,0.92038,0.00107663,0.00107663,0.00107663
34,91.6226,0.89828,0.59327,0.91104,0.97621,0.99488,0.99142,0.7497,0.88106,0.48147,0.9193,0.00107555,0.00107555,0.00107555
35,94.217,0.92742,0.61171,0.89494,0.97727,0.99441,0.98912,0.75816,0.88734,0.47496,0.91715,0.00107448,0.00107448,0.00107448
36,96.8042,0.92905,0.57794,0.91092,0.9824,0.99636,0.99002,0.77001,0.85967,0.45386,0.91025,0.00107341,0.00107341,0.00107341
37,99.4335,0.92311,0.59644,0.9029,0.9833,0.9813,0.99255,0.74881,0.88997,0.46158,0.92076,0.00107233,0.00107233,0.00107233
